,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
149,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
150,121,Max Christie,SG,19,LAL,41,512,.415,.409,.419,.538,.875,.566,.151,.585,87,75,116,99,112,97,57,151,-1.6,-3.4
151,122,Brandon Clarke,PF,26,MEM,56,1090,.656,.665,.167,.658,.723,.682,.393,.017,138,121,46,121,92,117,147,4,78.4,82.2
152,123,Jordan Clarkson,SG,30,UTA,61,1988,.444,.530,.338,.519,.816,.558,.238,.445,93,97,94,95,104,96,89,115,-53.3,-52.9
153,124,Nic Claxton,C,23,BRK,76,2271,.705,.708,.000,.705,.541,.691,.419,.003,148,129,,129,69,119,157,1,187.9,152.8
154,125,Amir Coffey,SF,25,LAC,50,625,.386,.429,.275,.424,.778,.498,.434,.276,81,78,76,78,99,86,163,71,-35.1,-28.8
155,126,John Collins,PF,25,ATL,71,2130,.508,.619,.292,.557,.803,.593,.252,.339,107,113,81,102,103,102,94,88,17.0,18.1
156,127,Zach Collins,C,25,SAS,63,1441,.518,.571,.374,.568,.761,.599,.259,.268,109,104,104,104,97,103,97,69,25.4,21.3
157,128,Chance Comanche,C,26,POR,1,21,.600,.600,,.600,.250,.518,.800,.000,126,110,,110,32,89,300,,.5,-0.9
158,129,Mike Conley,PG,35,TOT,67,2029,.428,.486,.385,.539,.834,.583,.277,.575,90,89,107,99,107,100,104,149,-8.2,2.4
159,130,Mike Conley,PG,35,UTA,43,1276,.408,.469,.362,.511,.812,.552,.256,.568,86,86,100,94,104,95,96,147,-25.9,-24.0
160,131,Mike Conley,PG,35,MIN,24,753,.460,.515,.420,.583,.863,.631,.311,.587,97,94,117,107,110,109,117,152,17.7,26.5
161,132,Pat Connaughton,SF,30,MIL,61,1443,.392,.566,.339,.521,.659,.531,.097,.765,82,103,94,96,84,91,37,197,-20.1,-44.4
162,133,Xavier Cooks,PF,27,WAS,10,126,.607,.630,.000,.607,.400,.586,.357,.036,128,115,,111,51,101,134,9,3.5,.3
163,134,Robert Covington,PF,32,LAC,48,779,.445,.516,.397,.563,.750,.584,.175,.594,94,94,110,103,96,100,66,153,8.3,1.3
164,135,Torrey Craig,PF,32,PHO,79,1948,.456,.518,.395,.556,.711,.566,.090,.506,96,95,110,102,91,97,34,131,10.7,-16.3
165,136,Jae Crowder,PF,32,MIL,18,340,.479,.538,.436,.606,.833,.624,.128,.585,101,98,121,111,107,107,48,151,11.5,8.6
166,137,Jarrett Culver,SF,23,ATL,10,137,.395,.516,.083,.407,.692,.452,.302,.279,83,94,23,75,89,78,113,72,-11.9,-12.6
167,138,Cade Cunningham,PG,21,DET,12,400,.415,.466,.279,.453,.837,.492,.192,.272,87,85,77,83,107,85,72,70,-41.3,-43.4
168,139,Seth Curry,SG,32,BRK,61,1211,.463,.525,.405,.568,.927,.593,.122,.517,97,96,112,104,119,102,46,133,20.4,10.9
169,140,Stephen Curry,PG,34,GSW,56,1941,.493,.579,.427,.614,.915,.656,.248,.564,104,106,118,113,117,113,93,146,155.5,187.1
170,,,,,,,,,,,,,,,,,,,,,,,,,
171,,League Average,,,,,,.475,.548,.361,.545,.782,.581,.266,.387,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,Player Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,,
174,Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
175,141,Dyson Daniels,PG,19,NOP,59,1042,.418,.492,.314,.483,.650,.503,.192,.413,88,90,87,89,83,87,72,107,-25.8,-35.3
176,142,Anthony Davis,C,29,LAL,56,1904,.563,.589,.257,.573,.784,.627,.462,.077,119,107,71,105,100,108,173,20,53.9,105.6
177,143,JD Davison,SG,20,BOS,12,66,.421,.500,.286,.474,.500,.478,.105,.368,89,91,79,87,64,82,40,95,-2.7,-4.1
178,144,Johnny Davis,SG,20,WAS,28,423,.386,.485,.243,.436,.519,.446,.158,.409,81,89,67,80,66,77,59,106,-37.5,-49.6
179,145,Terence Davis,SG,25,SAC,64,841,.423,.537,.366,.545,.791,.563,.118,.668,89,98,102,100,101,97,44,172,.1,-14.2
180,146,Darius Days,SF,23,HOU,4,25,.417,1.000,.300,.542,1.000,.582,.167,.833,88,183,83,99,128,100,63,215,-0.1,.0
181,147,Dewayne Dedmon,C,33,TOT,38,426,.510,.580,.308,.550,.673,.577,.325,.258,107,106,85,101,86,99,122,67,1.3,-1.6
182,148,Dewayne Dedmon,C,33,MIA,30,350,.496,.576,.297,.539,.727,.576,.341,.287,104,105,82,99,93,99,128,74,-1.7,-1.5
183,149,Dewayne Dedmon,C,33,PHI,8,76,.591,.600,.500,.614,.200,.579,.227,.091,124,110,139,113,26,100,85,23,3.0,-0.1
184,150,Matthew Dellavedova,PG,32,SAC,32,213,.340,.348,.333,.430,.571,.443,.140,.540,72,63,92,79,73,76,53,139,-11.5,-14.7
185,151,DeMar DeRozan,SF,33,CHI,74,2682,.504,.526,.324,.522,.872,.592,.401,.109,106,96,90,96,112,102,151,28,-60.9,33.7
